name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket
AMD A10-5700,4,3.4,,65,Radeon HD 7660D,FALSE,AMD,A10,5700,2742,1429,FM2
AMD A10-5800K,4,3.8,,100,Radeon HD 7660D,FALSE,AMD,A10,5800K,2955,1492,FM2
AMD A10-6700,4,3.7,,65,Radeon HD 8670D,FALSE,AMD,A10,6700,3112,1606,FM2
AMD A10-6700T,4,2.5,3.5,45,Radeon HD 8650D,FALSE,AMD,A10,6700T,2299,1290,FM2
AMD A10-6790K,4,4,4.3,100,Radeon HD 8670D,FALSE,AMD,A10,6790K,3103,1559,FM2
AMD A10-6800B,4,4.1,4.4,100,Radeon HD 8670D,FALSE,AMD,A10,6800B,3155,1666,FM2
AMD A10-6800K,4,4.1,,100,Radeon HD 8670D,FALSE,AMD,A10,6800K,3188,1594,FM2
AMD A10-7700K,4,3.4,3.8,95,Radeon R7 (on-die),FALSE,AMD,A10,7700K,3203,1432,FM2+
AMD A10-7800,4,3.5,3.9,65,Radeon R7 (on-die),FALSE,AMD,A10,7800,3212,1458,FM2+
AMD A10-7850K,4,3.7,4,95,Radeon R7 (on-die),FALSE,AMD,A10,7850K,3397,1497,FM2+
AMD A10-7860k,4,3.6,4,65,Radeon R7 (on-die),FALSE,AMD,A10,7860k,3271,1484,FM2+
AMD A10-7870K,4,3.9,4.1,95,Radeon R7 (on-die),FALSE,AMD,A10,7870K,3492,1530,FM2+
AMD A10-7890K,4,4.1,4.3,95,Radeon R7 (on-die),FALSE,AMD,A10,7890K,3536,1573,FM2+
AMD A10-9700,4,3.5,3.8,65,Radeon R7 (on-die),FALSE,AMD,A10,9700,3552,1618,AM4
AMD A10-9700E,4,3,3.5,35,Radeon R7 (on-die),FALSE,AMD,A10,9700E,3242,1505,AM4
AMD A12-9800,4,3.8,4.2,65,Radeon R7 (on-die),FALSE,AMD,A12,9800,3635,1682,AM4
AMD A12-9800E,4,3.1,3.8,35,Radeon R7 (on-die),FALSE,AMD,A12,9800E,3471,1617,AM4
AMD A4-3300,2,2.5,,65,Radeon HD 6410D,FALSE,AMD,A4,3300,942,973,FM1
AMD A4-3400,2,2.7,,65,Radeon HD 6410D,FALSE,AMD,A4,3400,1089,1084,FM1
AMD A4-3420,2,2.8,,65,Radeon HD 6410D,FALSE,AMD,A4,3420,1067,1119,FM1
AMD A4-4000,2,3,,65,Radeon HD 7480D,FALSE,AMD,A4,4000,1152,1137,FM2
AMD A4-4020,2,3.2,3.4,65,Radeon HD 7480D,FALSE,AMD,A4,4020,1268,1220,FM2
AMD A4-5300,2,3.4,,65,Radeon HD 7480D,FALSE,AMD,A4,5300,1365,1338,FM2
AMD A4-6300,2,3.7,3.9,65,Radeon HD 8370D,FALSE,AMD,A4,6300,1422,1396,FM2
AMD A4-6320,2,3.8,4,65,Radeon HD 8370D,FALSE,AMD,A4,6320,1530,1529,FM2
AMD A4-7300,2,3.8,4,65,Radeon HD 8470D,FALSE,AMD,A4,7300,1534,1480,FM2
AMD A6-3500,3,2.1,,65,Radeon HD 6530D,FALSE,AMD,A6,3500,1432,964,FM1
AMD A6-3650,4,2.6,,100,Radeon HD 6530D,FALSE,AMD,A6,3650,2086,1045,FM1
AMD A6-5400K,2,3.6,,65,Radeon HD 7540D,FALSE,AMD,A6,5400K,1274,1265,FM2
AMD A6-6400K,2,3.9,,65,Radeon HD 8470D,FALSE,AMD,A6,6400K,1507,1446,FM2
AMD A6-6420K,2,4,4.2,65,Radeon HD 8000 Series,FALSE,AMD,A6,6420K,1565,1546,FM2
AMD A6-7400K,2,3.5,3.9,65,Radeon R5 (on die),FALSE,AMD,A6,7400K,1635,1434,FM2+
AMD A6-7470K,2,3.7,4,65,Radeon R5 (on die),FALSE,AMD,A6,7470K,1799,1576,FM2+
AMD A6-7480,2,3.5,3.8,65,Radeon R5 (on die),FALSE,AMD,A6,7480,1808,1528,FM2+
AMD A6-9500,2,3.5,3.8,65,Radeon R5 (on die),FALSE,AMD,A6,9500,1877,1629,AM4
AMD A6-9500E,2,3,3.4,35,Radeon R5 (on die),FALSE,AMD,A6,9500E,1725,1369,AM4
AMD A8-3850,4,2.9,,100,Radeon HD 6550D,FALSE,AMD,A8,3850,2390,1215,FM1
AMD A8-3870K,4,3,,100,Radeon HD 6550D,FALSE,AMD,A8,3870K,2328,1210,FM1
AMD A8-5500,4,3.2,,65,Radeon HD 7560D,FALSE,AMD,A8,5500,2610,1333,FM2
AMD A8-5600K,4,3.6,,100,Radeon HD 7560D,FALSE,AMD,A8,5600K,2865,1430,FM2
AMD A8-6500,4,3.5,,65,Radeon HD 8570D,FALSE,AMD,A8,6500,2826,1474,FM2
AMD A8-6600K,4,3.9,,100,Radeon HD 8570D,FALSE,AMD,A8,6600K,3000,1533,FM2
AMD A8-7600,4,3.1,3.8,65,Radeon R7 (on-die),FALSE,AMD,A8,7600,3213,1444,FM2+
AMD A8-7650K,4,3.3,3.7,65,Radeon R7 (on-die),FALSE,AMD,A8,7650K,3122,1405,FM2+
AMD A8-7670K,4,3.6,3.9,95,Radeon R7 (on-die),FALSE,AMD,A8,7670K,3213,1493,FM2+
AMD A8-9600,4,3.1,3.4,65,Radeon R7 (on-die),FALSE,AMD,A8,9600,3304,1486,AM4
AMD Athlon 200GE,2,3.2,,35,Radeon Vega 3,TRUE,AMD,Athlon,200GE,4110,1793,AM4
AMD Athlon 240GE,2,3.5,,35,Radeon Vega 3,TRUE,AMD,Athlon,240GE,4539,1950,AM4
AMD Athlon 3000G (14nm),2,3.5,,35,Radeon Vega 3,TRUE,AMD,Athlon,3000G,4457,1968,AM4
AMD Athlon 5370,4,2.2,,25,Radeon R3 (on die),FALSE,AMD,Athlon,5370,1927,754,AM1
AMD Athlon II X2 215,2,2.7,,65,,FALSE,AMD,Athlon II,X2 215,973,1023,AM3
AMD Athlon II X2 220,2,2.8,,65,,FALSE,AMD,Athlon II,X2 220,1042,1091,AM3
AMD Athlon II X2 235e,2,2.7,,45,,FALSE,AMD,Athlon II,X2 235e,1079,1098,AM3
AMD Athlon II X2 240,2,2.8,,65,,FALSE,AMD,Athlon II,X2 240,1049,1084,AM3
AMD Athlon II X2 240e,2,2.8,,45,,FALSE,AMD,Athlon II,X2 240e,1007,1097,AM3
AMD Athlon II X2 245,2,2.9,,65,,FALSE,AMD,Athlon II,X2 245,1116,1131,AM2+
AMD Athlon II X2 245e,2,2.9,,45,,FALSE,AMD,Athlon II,X2 245e,1171,1182,AM3
AMD Athlon II X2 250,2,3,,65,,FALSE,AMD,Athlon II,X2 250,1168,1199,AM3
AMD Athlon II X2 250u,2,1.6,,25,,FALSE,AMD,Athlon II,X2 250u,598,637,AM3
AMD Athlon II X2 255,2,3.1,,65,,FALSE,AMD,Athlon II,X2 255,1199,1237,AM3
AMD Athlon II X2 260,2,3.2,,65,,FALSE,AMD,Athlon II,X2 260,1190,1257,AM3
AMD Athlon II X2 260u,2,1.8,,25,,FALSE,AMD,Athlon II,X2 260u,713,716,AM3
AMD Athlon II X2 265,2,3.2,,65,,FALSE,AMD,Athlon II,X2 265,1267,1336,AM3
AMD Athlon II X2 270,2,3.4,,65,,FALSE,AMD,Athlon II,X2 270,1316,1363,AM3
AMD Athlon II X3 400e,3,2.2,,45,,FALSE,AMD,Athlon II,X3 400e,1320,908,AM3
AMD Athlon II X3 405e,3,2.3,,45,,FALSE,AMD,Athlon II,X3 405e,1331,973,AM3
AMD Athlon II X3 415e,3,2.5,,45,,FALSE,AMD,Athlon II,X3 415e,1441,1028,AM3
AMD Athlon II X3 425,3,2.7,,95,,FALSE,AMD,Athlon II,X3 425,1576,1084,AM3
AMD Athlon II X3 435,3,2.9,,95,,FALSE,AMD,Athlon II,X3 435,1625,1160,AM3
AMD Athlon II X3 440,3,3,,95,,FALSE,AMD,Athlon II,X3 440,1719,1193,AM3
AMD Athlon II X3 445,3,3.1,,95,,FALSE,AMD,Athlon II,X3 445,1822,1268,AM3
AMD Athlon II X3 450,3,3.2,,95,,FALSE,AMD,Athlon II,X3 450,1861,1300,AM3
AMD Athlon II X3 455,3,3.3,,95,,FALSE,AMD,Athlon II,X3 455,1891,1332,AM3
AMD Athlon II X3 460,3,3.4,,95,,FALSE,AMD,Athlon II,X3 460,2008,1395,AM3
AMD Athlon II X4 600e,4,2.2,,45,,FALSE,AMD,Athlon II,X4 600e,1795,913,AM3
AMD Athlon II X4 605e,4,2.3,,45,,FALSE,AMD,Athlon II,X4 605e,1966,999,AM3
AMD Athlon II X4 610e,4,2.4,,45,,FALSE,AMD,Athlon II,X4 610e,1959,1039,AM3
AMD Athlon II X4 620,4,2.6,,95,,FALSE,AMD,Athlon II,X4 620,2021,1062,AM3
AMD Athlon II X4 630,4,2.8,,95,,FALSE,AMD,Athlon II,X4 630,2162,1129,AM3
AMD Athlon II X4 631,4,2.6,,100,,FALSE,AMD,Athlon II,X4 631,2122,1115,FM1
AMD Athlon II X4 635,4,2.9,,95,,FALSE,AMD,Athlon II,X4 635,2237,1168,AM3
AMD Athlon II X4 638,4,2.7,,65,,FALSE,AMD,Athlon II,X4 638,2260,1158,FM1
AMD Athlon II X4 640,4,3,,95,,FALSE,AMD,Athlon II,X4 640,2254,1212,AM3
AMD Athlon II X4 641,4,2.8,,100,,FALSE,AMD,Athlon II,X4 641,2313,1189,FM1
AMD Athlon II X4 645,4,3.1,,95,,FALSE,AMD,Athlon II,X4 645,2359,1257,AM3
AMD Athlon II X4 651,4,3,,100,,FALSE,AMD,Athlon II,X4 651,2500,1287,FM1
AMD Athlon II X4 651K,4,3,,100,,FALSE,AMD,Athlon II,X4 651K,2500,1287,FM1
AMD Athlon X4 530,4,2,,25,,FALSE,AMD,Athlon,X4 530,1786,690,AM1
AMD Athlon X4 740,4,3.2,,65,,FALSE,AMD,Athlon,X4 740,2637,1355,FM2
AMD Athlon X4 750K,4,3.4,,65,,FALSE,AMD,Athlon,X4 750K,2625,1497,FM2
AMD Athlon X4 760K,4,3.8,4.1,100,,FALSE,AMD,Athlon,X4 760K,2980,1533,FM2
AMD Athlon X4 840,4,3.1,3.8,65,,FALSE,AMD,Athlon,X4 840,3319,1487,FM2+
AMD Athlon X4 845,4,3.5,3.8,65,,FALSE,AMD,Athlon,X4 845,3781,1670,FM2+
AMD Athlon X4 860K,4,3.7,4,95,,FALSE,AMD,Athlon,X4 860K,3435,1525,FM2+
AMD Athlon X4 870K,4,3.9,4.1,95,,FALSE,AMD,Athlon,X4 870K,3410,1558,FM2+
AMD Athlon X4 880K,4,4,4.2,95,,FALSE,AMD,Athlon,X4 880K,3663,1633,FM2+
AMD Athlon X4 950,4,3.5,3.8,65,,FALSE,AMD,Athlon,X4 950,3598,1637,AM4
AMD Athlon X4 970,4,3.8,4,65,,FALSE,AMD,Athlon,X4 970,3472,1616,AM4
AMD E2-3200,2,2.4,,65,Radeon HD 6370D,FALSE,AMD,E2,3200,968,971,FM1
AMD FX-4100,4,3.6,,95,,FALSE,AMD,FX,4100,2615,1286,AM3+
AMD FX-4130,4,3.8,,125,,FALSE,AMD,FX,4130,2703,1342,AM3+
AMD FX-4150,4,4,4.1,125,,FALSE,AMD,FX,4150,3327,1465,AM3+
AMD FX-4170,4,4.2,,125,,FALSE,AMD,FX,4170,3047,1469,AM3+
AMD FX-4200,4,3.3,,125,,FALSE,AMD,FX,4200,3119,1313,AM3+
AMD FX-4300,4,3.8,,95,,FALSE,AMD,FX,4300,2980,1476,AM3+
AMD FX-4320,4,4,4.2,95,,FALSE,AMD,FX,4320,3150,1564,AM3+
AMD FX-4350,4,4.2,,125,,FALSE,AMD,FX,4350,3279,1604,AM3+
AMD FX-6100,6,3.3,,95,,FALSE,AMD,FX,6100,3698,1318,AM3+
AMD FX-6120,6,3.5,4.1,95,,FALSE,AMD,FX,6120,3909,1413,AM3+
AMD FX-6130,6,3.6,3.9,125,,FALSE,AMD,FX,6130,4353,1390,AM3+
AMD FX-6200,6,3.8,,125,,FALSE,AMD,FX,6200,4075,1400,AM3+
AMD FX-6300,6,3.5,,95,,FALSE,AMD,FX,6300,4213,1486,AM3+
AMD FX-6350,6,3.9,,125,,FALSE,AMD,FX,6350,4619,1575,AM3+
AMD FX-8100,8,2.8,,95,,FALSE,AMD,FX,8100,4073,1154,AM3+
AMD FX-8120,8,3.1,,125,,FALSE,AMD,FX,8120,4630,1331,AM3+
AMD FX-8140,8,3.2,4.1,95,,FALSE,AMD,FX,8140,4860,1273,AM3+
AMD FX-8150,8,3.6,,125,,FALSE,AMD,FX,8150,5291,1433,AM3+
AMD FX-8300,8,3.3,,95,,FALSE,AMD,FX,8300,5336,1489,AM3+
AMD FX-8310,8,3.4,4.3,95,,FALSE,AMD,FX,8310,5065,1409,AM3+
AMD FX-8320,8,3.5,,125,,FALSE,AMD,FX,8320,5442,1465,AM3+
AMD FX-8320E,8,3.2,4,95,,FALSE,AMD,FX,8320E,5106,1432,AM3+
AMD FX-8350,8,4,,125,,FALSE,AMD,FX,8350,6071,1581,AM3+
AMD FX-8370,8,4,4.3,125,,FALSE,AMD,FX,8370,6148,1619,AM3+
AMD FX-8370E,8,3.3,4.3,95,,FALSE,AMD,FX,8370E,5329,1467,AM3+
AMD FX-9370,8,4.4,4.7,220,,FALSE,AMD,FX,9370,6301,1696,AM3+
AMD FX-9590,8,4.7,5,220,,FALSE,AMD,FX,9590,6776,1811,AM3+
AMD Phenom II X2 545,2,3,,80,,FALSE,AMD,Phenom II,X2 545,1222,1183,AM2+
AMD Phenom II X2 550,2,3.1,,80,,FALSE,AMD,Phenom II,X2 550,1150,1225,AM2+
AMD Phenom II X2 550 Black,2,3.1,,80,,FALSE,AMD,Phenom II,X2 550,1150,1225,AM2+
AMD Phenom II X2 555 Black,2,3.2,,80,,FALSE,AMD,Phenom II,X2 555,1296,1307,AM2+
AMD Phenom II X2 560 Black,2,3.3,,80,,FALSE,AMD,Phenom II,X2 560,1381,1365,AM2+
AMD Phenom II X2 565 Black,2,3.4,,80,,FALSE,AMD,Phenom II,X2 565,1442,1376,AM2+
AMD Phenom II X2 B59,2,3.4,,80,,FALSE,AMD,Phenom II,X2 B59,1396,1368,AM2+
AMD Phenom II X3 705e,3,2.5,,65,,FALSE,AMD,Phenom II,X3 705e,1222,962,AM3
AMD Phenom II X3 710,3,2.6,,95,,FALSE,AMD,Phenom II,X3 710,1571,1067,AM3
AMD Phenom II X3 720,3,2.8,,95,,FALSE,AMD,Phenom II,X3 720,1593,1107,AM3
AMD Phenom II X3 720 Black,3,2.8,,95,,FALSE,AMD,Phenom II,X3 720,1593,1107,AM3
AMD Phenom II X4 805,4,2.5,,95,,FALSE,AMD,Phenom II,X4 805,1959,1017,AM3
AMD Phenom II X4 810,4,2.6,,95,,FALSE,AMD,Phenom II,X4 810,1999,1037,AM3
AMD Phenom II X4 820,4,2.8,,95,,FALSE,AMD,Phenom II,X4 820,2081,1121,AM3
AMD Phenom II X4 830,4,2.8,,95,,FALSE,AMD,Phenom II,X4 830,2072,1083,AM2+
AMD Phenom II X4 840,4,3.2,,95,,FALSE,AMD,Phenom II,X4 840,2425,1299,AM2+
AMD Phenom II X4 905e,4,2.5,,65,,FALSE,AMD,Phenom II,X4 905e,1936,1012,AM3
AMD Phenom II X4 910,4,2.6,,95,,FALSE,AMD,Phenom II,X4 910,1776,988,AM3
AMD Phenom II X4 910e,4,2.6,,65,,FALSE,AMD,Phenom II,X4 910e,2131,1079,AM3
AMD Phenom II X4 920,4,2.8,,125,,FALSE,AMD,Phenom II,X4 920,2181,1133,AM2+
AMD Phenom II X4 925,4,2.8,,95,,FALSE,AMD,Phenom II,X4 925,2278,1150,AM3
AMD Phenom II X4 940 Black,4,3,,125,,FALSE,AMD,Phenom II,X4 940,2358,1213,AM2+
AMD Phenom II X4 945,4,3,,125,,FALSE,AMD,Phenom II,X4 945,2406,1234,AM3
AMD Phenom II X4 955,4,3.2,,125,,FALSE,AMD,Phenom II,X4 955,2531,1296,AM3
AMD Phenom II X4 955 Black,4,3.2,,125,,FALSE,AMD,Phenom II,X4 955,2531,1296,AM3
AMD Phenom II X4 960T Black,4,3,,95,,FALSE,AMD,Phenom II,X4 960T,2375,1304,AM3
AMD Phenom II X4 965,4,3.4,,125,,FALSE,AMD,Phenom II,X4 965,2650,1364,AM3
AMD Phenom II X4 965 Black,4,3.4,,125,,FALSE,AMD,Phenom II,X4 965,2650,1364,AM3
AMD Phenom II X4 965 Black (140W),4,3.4,,125,,FALSE,AMD,Phenom II,X4 965,2650,1364,AM3
AMD Phenom II X4 970,4,3.5,,125,,FALSE,AMD,Phenom II,X4 970,2750,1416,AM3
AMD Phenom II X4 970 Black,4,3.5,,125,,FALSE,AMD,Phenom II,X4 970,2750,1416,AM3
AMD Phenom II X4 975,4,3.6,,125,,FALSE,AMD,Phenom II,X4 975,2610,1344,AM3
AMD Phenom II X4 980 Black,4,3.7,,125,,FALSE,AMD,Phenom II,X4 980,2839,1511,AM3
AMD Phenom II X6 1035T,6,2.6,,95,,FALSE,AMD,Phenom II,X6 1035T,3014,1224,AM3
AMD Phenom II X6 1045T,6,2.7,,95,,FALSE,AMD,Phenom II,X6 1045T,3227,1285,AM3
AMD Phenom II X6 1055T,6,2.8,,125,,FALSE,AMD,Phenom II,X6 1055T,3340,1328,AM3
AMD Phenom II X6 1065T,6,2.7,,95,,FALSE,AMD,Phenom II,X6 1065T,3380,1362,AM3
AMD Phenom II X6 1075T,6,3,,125,,FALSE,AMD,Phenom II,X6 1075T,3470,1385,AM3
AMD Phenom II X6 1090T Black,6,3.2,,125,,FALSE,AMD,Phenom II,X6 1090T,3790,1453,AM3
AMD Phenom II X6 1100T Black,6,3.3,,125,,FALSE,AMD,Phenom II,X6 1100T,3899,1498,AM3
AMD Pro A10-7800B,4,3.5,3.9,65,Radeon R7 (on-die),FALSE,AMD,A10,7800B,3309,1496,FM2+
AMD Pro A10-7850B,4,3.7,4,95,Radeon R7 (on-die),FALSE,AMD,A10,7850B,3441,1565,FM2+
AMD Ryzen 3 1200 (12nm),4,3.1,3.4,65,,FALSE,AMD,Ryzen 3,1200,6269,1927,AM4
AMD Ryzen 3 1200 (14nm),4,3.1,3.4,65,,FALSE,AMD,Ryzen 3,1200,6269,1927,AM4
AMD Ryzen 3 1300X,4,3.5,3.7,65,,FALSE,AMD,Ryzen 3,1300X,6963,2122,AM4
AMD Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,FALSE,AMD,Ryzen 3,2200G,6754,2049,AM4
AMD Ryzen 3 3100,4,3.6,3.9,65,,TRUE,AMD,Ryzen 3,3100,11577,2418,AM4
AMD Ryzen 3 3200G,4,3.6,4,65,Radeon Vega 8,FALSE,AMD,Ryzen 3,3200G,7111,2202,AM4
AMD Ryzen 3 3300X,4,3.8,4.3,65,,TRUE,AMD,Ryzen 3,3300X,12603,2670,AM4
AMD Ryzen 3 4100,4,3.8,4,65,,TRUE,AMD,Ryzen 3,4100,11029,2526,AM4
AMD Ryzen 5 1400,4,3.2,3.4,65,,TRUE,AMD,Ryzen 5,1400,7741,1890,AM4
AMD Ryzen 5 1500X,4,3.5,3.7,65,,TRUE,AMD,Ryzen 5,1500X,9088,2109,AM4
AMD Ryzen 5 1600 (12nm),6,3.2,3.6,65,,TRUE,AMD,Ryzen 5,1600,12274,2066,AM4
AMD Ryzen 5 1600 (14nm),6,3.2,3.6,65,,TRUE,AMD,Ryzen 5,1600,12274,2066,AM4
AMD Ryzen 5 1600X,6,3.6,4,95,,TRUE,AMD,Ryzen 5,1600X,13037,2195,AM4
AMD Ryzen 5 2400G,4,3.6,3.9,65,Radeon Vega 11,TRUE,AMD,Ryzen 5,2400G,8738,2146,AM4
AMD Ryzen 5 2600,6,3.4,3.9,65,,TRUE,AMD,Ryzen 5,2600,13180,2242,AM4
AMD Ryzen 5 2600X,6,3.6,4.2,95,,TRUE,AMD,Ryzen 5,2600X,13893,2381,AM4
AMD Ryzen 5 3400G,4,3.7,4.2,65,Radeon Vega 11,TRUE,AMD,Ryzen 5,3400G,9231,2325,AM4
AMD Ryzen 5 3500,6,3.6,4.1,65,,FALSE,AMD,Ryzen 5,3500,12793,2501,AM4
AMD Ryzen 5 3500X,6,3.6,4.1,65,,FALSE,AMD,Ryzen 5,3500X,13169,2503,AM4
AMD Ryzen 5 3600,6,3.6,4.2,65,,TRUE,AMD,Ryzen 5,3600,17721,2564,AM4
AMD Ryzen 5 3600X,6,3.8,4.4,95,,TRUE,AMD,Ryzen 5,3600X,18174,2651,AM4
AMD Ryzen 5 3600XT,6,3.8,4.5,95,,TRUE,AMD,Ryzen 5,3600XT,18619,2757,AM4
AMD Ryzen 5 4500,6,3.6,4.1,65,,TRUE,AMD,Ryzen 5,4500,16125,2598,AM4
AMD Ryzen 5 4600G,6,3.7,4.2,65,Radeon Vega 7,TRUE,AMD,Ryzen 5,4600G,16040,2658,AM4
AMD Ryzen 5 5500,6,3.6,4.2,65,,TRUE,AMD,Ryzen 5,5500,19350,3056,AM4
AMD Ryzen 5 5500GT,6,3.6,4.4,65,Radeon Vega 7,TRUE,AMD,Ryzen 5,5500GT,20266,3225,AM4
AMD Ryzen 5 5600,6,3.5,4.4,65,,TRUE,AMD,Ryzen 5,5600,21565,3258,AM4
AMD Ryzen 5 5600G,6,3.9,4.4,65,Radeon Vega 7,TRUE,AMD,Ryzen 5,5600G,19829,3188,AM4
AMD Ryzen 5 5600GT,6,3.6,4.6,65,Radeon Vega 7,TRUE,AMD,Ryzen 5,5600GT,20288,3338,AM4
AMD Ryzen 5 5600X,6,3.7,4.6,65,,TRUE,AMD,Ryzen 5,5600X,21876,3363,AM4
AMD Ryzen 5 5600X3D,6,3.3,4.4,105,,TRUE,AMD,Ryzen 5,5600X3D,21914,3190,AM4
AMD Ryzen 5 7500F,6,3.7,5,65,,TRUE,AMD,Ryzen 5,7500F,26850,3842,AM5
AMD Ryzen 5 7600,6,3.8,5.1,65,Radeon,TRUE,AMD,Ryzen 5,7600,27046,3908,AM5
AMD Ryzen 5 7600X,6,4.7,5.3,105,Radeon,TRUE,AMD,Ryzen 5,7600X,28455,4139,AM5
AMD Ryzen 5 8500G,6,4.1,5,65,Radeon 740M,TRUE,AMD,Ryzen 5,8500G,21674,3896,AM5
AMD Ryzen 5 8600G,6,4.3,5,65,Radeon 760M,TRUE,AMD,Ryzen 5,8600G,25350,3881,AM5
AMD Ryzen 7 1700,8,3,3.7,65,,TRUE,AMD,Ryzen 7,1700,14799,2000,AM4
AMD Ryzen 7 1700X,8,3.4,3.8,95,,TRUE,AMD,Ryzen 7,1700X,15656,2102,AM4
AMD Ryzen 7 1800X,8,3.6,4,95,,TRUE,AMD,Ryzen 7,1800X,16340,2197,AM4
AMD Ryzen 7 2700,8,3.2,4.1,65,,TRUE,AMD,Ryzen 7,2700,15689,2177,AM4
AMD Ryzen 7 2700X,8,3.7,4.3,105,,TRUE,AMD,Ryzen 7,2700X,17498,2420,AM4
AMD Ryzen 7 3700X,8,3.6,4.4,65,,TRUE,AMD,Ryzen 7,3700X,22499,2658,AM4
AMD Ryzen 7 3800X,8,3.9,4.5,105,,TRUE,AMD,Ryzen 7,3800X,23103,2716,AM4
AMD Ryzen 7 3800XT,8,3.9,4.7,105,,TRUE,AMD,Ryzen 7,3800XT,23590,2803,AM4
